
"id","comment","annotation"
"1","এখনে তর্ক-বিতর্কের কিছু নেই","neutral"
"1","এখনে তর্ক-বিতর্কের কিছু নেই","neutral"
"2","এটাই হয়া উচিৎ","positive"
"2","এটাই হয়া উচিৎ","ambiguous"
"3","সত্য সাহসি লেখার জন্য উনাকে ধন্যবাদ","positive"
"3","সত্য সাহসি লেখার জন্য উনাকে ধন্যবাদ","positive"
"4","আর প্রেমে ব্যর্থ হলে যে মিষ্টি পানির স্বাদটা কী রকম হয়, সেটারও একটা গবেষণা দরকার","negative"
"4","আর প্রেমে ব্যর্থ হলে যে মিষ্টি পানির স্বাদটা কী রকম হয়, সেটারও একটা গবেষণা দরকার","negative"
"5","আশা করছি আমরাই ফাইনাল জীতবো","positive"
"5","আশা করছি আমরাই ফাইনাল জীতবো","negative"
"6","এইটাই হলো শেখ হাসিনার উননয়নের জোয়ার ৷","positive"
"6","এইটাই হলো শেখ হাসিনার উননয়নের জোয়ার ৷","positive"
"7","একবার চিন্তা করুন,এ ঘটনাটা যদি অন্যদল করত,দাদার কলমে আগুন ঝরত","negative"
"7","একবার চিন্তা করুন,এ ঘটনাটা যদি অন্যদল করত,দাদার কলমে আগুন ঝরত","negative"
"8","স্বৈরতন্ত্র যত নিষ্ঠুর হয় তার যাওয়াটা কিন্তু তত করুন হয়","negative"
"8","স্বৈরতন্ত্র যত নিষ্ঠুর হয় তার যাওয়াটা কিন্তু তত করুন হয়","negative"
"9","কেউ দেখেও দেখে না ! কেউ শুনেও শুনে না","negative"
"9","কেউ দেখেও দেখে না ! কেউ শুনেও শুনে না","positive"
"10","এগুলোর জবাব দেবে কে ?","negative"
"10","এগুলোর জবাব দেবে কে ?","negative"
"11","বাহাতিরা কোনদিক থেকে স্পেশাল কিনা ? বা তারা কোন বিশেষ সুবিধা পায় কিনা ( শারিরিক বা মানসিক)","ambiguous"
"11","বাহাতিরা কোনদিক থেকে স্পেশাল কিনা ? বা তারা কোন বিশেষ সুবিধা পায় কিনা ( শারিরিক বা মানসিক)","negative"
"12","ইরফান পাঠান আমার প্রিয় ক্রিকেটার","positive"
"12","ইরফান পাঠান আমার প্রিয় ক্রিকেটার","positive"
"12","ইরফান পাঠান আমার প্রিয় ক্রিকেটার","positive"
"13","এভাবে চললে ফাইনালে আর খেলতে হবেনা","negative"
"13","এভাবে চললে ফাইনালে আর খেলতে হবেনা","neutral"
"14","প্রিয়তমা স্ত্রীকে ভালবাসার এক সুনদর উদাহরন","positive"
"14","প্রিয়তমা স্ত্রীকে ভালবাসার এক সুনদর উদাহরন","neutral"
"15","মাহমুদল্লাহ, ফরহাদ রেজা, সাব্বির কে একাদশে দেখতে চাই না","negative"
"15","মাহমুদল্লাহ, ফরহাদ রেজা, সাব্বির কে একাদশে দেখতে চাই না","positive"
"21","আমার একজন প্রিয় খেলোয়ার তার দৃষ্টিনন্দন কি শট আমি তার উজ্জল ভবিষ্যত দেখতে পাচ্ছি","positive"
"31","ঠিকই বলেছেন জাকির হােসেন","positive"
"32","পিপীলিকার পাখা হয় মরিবার তরে","negative"
"33","আপনারা ফাইনালে উঠলে যে দুই মোড়ল বিশেষ করে দাদাবাবুদের লুঙ্গির গিট আগেই ঢিলে হয়ে যেত","negative"
"34","মমতা ব্যানার্জি আসলেই কট্টর ধরণের মানুষ","negative"
"35","মেসিই সেই পার্থক্য","negative"
"36","প্রথম আলোর অনলাইন ভার্সন ও প্রিন্টেড ভার্সনের বিশাল পাঠকগোষ্ঠীর সবাইতো আর সারকাজম বোঝে না","negative"
"37","একটি মেয়ে দেশের সবচেয়ে সুরক্ষিত এলাকায় ঘর থেকে বের হয়ে ফিরে এলেন না","negative"
"38","রাষ্ট ও সমাজ ব্যবস্থায় সরকারকে হতে হবে গণতান্ত্রিক তাহলে সমাজে অন্যায় আর অপরাধের মতো ঘটনা কম ঘটবে","positive"
"39","কখনো কোষ্ঠকাঠিন্য হয়","negative"
"40","চমৎকার তো","positive"
"61","দাতা দেশ গুলো দারিদ্র-বিমোচন, জঙ্গিবাদ নির্মূল, নারী ক্ষমতায়ণ সূচকে দেশের পিঠ চাপড়ে দিয়েছে","positive"
"63","সারা বাংলাদেশ যেখানে খুশীতে ডগমগ করছে তাহারা দেখাচ্ছে ভারতপ্রীতি","negative"
"64","আওয়ামীলীগ আছে রাজনীতি ধ্বংসের পথে ! বিএনপি উদ্ধারের পথে","ambiguous"
